"","case1","case2","case3","case4"
"Finding1",NA,0,NA,NA
"Finding2",NA,NA,NA,NA
"Finding3",0,NA,NA,0
"Finding4",NA,NA,0,NA
"Finding5",NA,NA,NA,NA
"Finding6",0,NA,0,0
"Finding7",0,0,NA,0
"Finding8",NA,NA,NA,NA
"Finding9",NA,NA,NA,NA
"Finding10",NA,NA,NA,NA
"Finding11",NA,NA,NA,NA
"Finding12",NA,NA,NA,NA
"Finding13",1,NA,NA,NA
"Finding14",NA,NA,NA,NA
"Finding15",NA,NA,NA,NA
"Finding16",0,0,NA,NA
"Finding17",0,0,0,NA
"Finding18",NA,NA,0,NA
"Finding19",NA,NA,NA,NA
"Finding20",1,NA,NA,NA
"Finding21",0,0,1,0
"Finding22",NA,NA,NA,NA
"Finding23",NA,0,0,1
"Finding24",NA,NA,NA,1
"Finding25",NA,NA,NA,NA
"Finding26",NA,NA,NA,NA
"Finding27",NA,0,1,0
"Finding28",NA,NA,NA,NA
"Finding29",NA,NA,NA,NA
"Finding30",NA,NA,NA,NA
"Finding31",0,0,0,NA
"Finding32",NA,NA,NA,NA
"Finding33",NA,NA,NA,0
"Finding34",NA,NA,NA,0
"Finding35",NA,0,NA,NA
"Finding36",NA,NA,NA,NA
"Finding37",NA,NA,NA,NA
"Finding38",NA,0,NA,NA
"Finding39",NA,NA,NA,NA
"Finding40",NA,NA,NA,NA
"Finding41",NA,NA,NA,NA
"Finding42",NA,NA,NA,NA
"Finding43",NA,NA,NA,NA
"Finding44",NA,NA,NA,NA
"Finding45",NA,NA,NA,NA
"Finding46",NA,NA,1,0
"Finding47",NA,NA,NA,NA
"Finding48",NA,NA,NA,0
"Finding49",NA,NA,NA,NA
"Finding50",NA,NA,NA,NA
"Finding51",0,NA,NA,NA
"Finding52",NA,NA,NA,NA
"Finding53",1,0,NA,1
"Finding54",NA,NA,NA,NA
"Finding55",NA,NA,NA,NA
"Finding56",NA,0,NA,NA
"Finding57",NA,NA,NA,0
"Finding58",0,0,NA,1
"Finding59",NA,NA,NA,NA
"Finding60",NA,NA,NA,NA
"Finding61",NA,NA,0,0
"Finding62",NA,NA,NA,NA
"Finding63",NA,0,0,NA
"Finding64",NA,1,NA,NA
"Finding65",NA,NA,NA,NA
"Finding66",0,0,0,NA
"Finding67",NA,NA,NA,0
"Finding68",NA,NA,NA,NA
"Finding69",NA,NA,NA,NA
"Finding70",1,NA,NA,NA
"Finding71",NA,NA,NA,NA
"Finding72",NA,NA,NA,NA
"Finding73",NA,NA,NA,NA
"Finding74",NA,NA,NA,NA
"Finding75",0,0,0,1
"Finding76",NA,NA,NA,NA
"Finding77",NA,NA,NA,NA
"Finding78",NA,NA,NA,NA
"Finding79",0,NA,NA,NA
"Finding80",NA,NA,NA,0
"Finding81",NA,NA,NA,0
"Finding82",NA,NA,NA,NA
"Finding83",NA,NA,NA,NA
"Finding84",NA,0,NA,NA
"Finding85",NA,1,0,NA
"Finding86",NA,NA,NA,NA
"Finding87",NA,NA,NA,NA
"Finding88",NA,NA,0,NA
"Finding89",NA,NA,NA,NA
"Finding90",0,0,1,NA
"Finding91",NA,NA,1,NA
"Finding92",0,NA,NA,0
"Finding93",0,NA,0,1
"Finding94",NA,NA,NA,NA
"Finding95",NA,NA,NA,NA
"Finding96",NA,NA,NA,NA
"Finding97",NA,NA,NA,NA
"Finding98",NA,NA,NA,NA
"Finding99",NA,0,0,NA
"Finding100",NA,NA,NA,NA
"Finding101",NA,NA,NA,NA
"Finding102",NA,NA,NA,NA
"Finding103",NA,NA,0,0
"Finding104",NA,0,0,0
"Finding105",NA,NA,0,NA
"Finding106",NA,NA,NA,NA
"Finding107",NA,NA,NA,NA
"Finding108",NA,NA,NA,NA
"Finding109",NA,NA,NA,NA
"Finding110",0,NA,NA,NA
"Finding111",NA,NA,NA,NA
"Finding112",NA,NA,NA,NA
"Finding113",0,0,NA,0
"Finding114",NA,NA,NA,NA
"Finding115",0,0,0,NA
"Finding116",NA,NA,NA,NA
"Finding117",NA,NA,NA,1
"Finding118",NA,NA,NA,NA
"Finding119",0,0,0,NA
"Finding120",NA,NA,NA,NA
"Finding121",0,0,NA,NA
"Finding122",NA,NA,NA,NA
"Finding123",NA,0,NA,NA
"Finding124",NA,NA,0,NA
"Finding125",NA,NA,NA,NA
"Finding126",NA,NA,NA,NA
"Finding127",NA,NA,NA,NA
"Finding128",NA,NA,NA,NA
"Finding129",0,NA,NA,0
"Finding130",NA,NA,NA,NA
"Finding131",NA,NA,0,NA
"Finding132",NA,NA,NA,NA
"Finding133",NA,NA,NA,NA
"Finding134",NA,NA,NA,NA
"Finding135",NA,NA,NA,NA
"Finding136",NA,NA,NA,NA
"Finding137",0,0,1,0
"Finding138",0,NA,1,0
"Finding139",NA,NA,NA,NA
"Finding140",NA,NA,NA,NA
"Finding141",NA,NA,NA,NA
"Finding142",NA,NA,NA,NA
"Finding143",NA,NA,NA,NA
"Finding144",NA,NA,NA,NA
"Finding145",0,0,0,0
"Finding146",NA,NA,NA,NA
"Finding147",NA,NA,NA,NA
"Finding148",NA,NA,NA,NA
"Finding149",NA,NA,NA,NA
"Finding150",0,0,0,NA
"Finding151",1,NA,NA,1
