time_msec_case_1,tvd_case_1,time_msec_case_2,tvd_case_2,time_msec_case_3,tvd_case_3,time_msec_case_4,tvd_case_4
958.688,0.54,798.11712,0.2,842.895104,2,1059.559168,1.9787
1138.575104,0.524,1099.220224,0.5,1128.928,1.992,1358.392064,1.9388
1396.602112,0.48,1327.147008,0.306,1408.880896,1.9779,1634.747136,1.9308
1970.13504,0.514,1845.72416,0.243,1989.223936,1.9841,2220.16512,1.9338
3483.389952,0.524,3281.539072,0.2524,3852.815104,1.9843,3839.842048,1.9395
5671.934208,0.519,5638.57408,0.2608,6005.513984,1.9859,6834.12992,1.934
10777.74515,0.5337,10545.14611,0.2477,10913.29818,1.984,11579.09299,1.9327
15038.25306,0.52673,15071.9319,0.23393,15315.10298,1.9827,18681.51987,1.9399
20794.94298,0.52045,19101.35091,0.22885,19802.8951,1.9813,22391.30906,1.9407
24501.1689,0.5332,23853.57696,0.24728,24749.74106,1.9834,27721.80992,1.9382
48696.11085,0.52894,48523.38611,0.23702,50288.576,1.9829,58167.42298,1.9399
104341.3312,0.53042,96601.49325,0.2428,93688.88602,1.9828,112003.4271,1.9381
149047.967,0.53139,141897.4159,0.23951,157041.3911,1.983,168949.0378,1.9398
192515.8121,0.52831,197614.7169,0.24244,208961.76,1.9823,226963.4391,1.9391
252445.4031,0.52948,250815.5351,0.24249,255205.472,1.9827,282118.1829,1.9389
