time_msec_case_1,ham_dist_case_1,time_msec_case_2,ham_dist_case_2,time_msec_case_3,ham_dist_case_3,time_msec_case_4,ham_dist_case_4
351.917056,3,299.429888,3,347.931136,1,476.343808,2
394.600192,0,337.456128,0,365.170944,1,508.981248,2
412.015104,0,362.576128,0,405.462016,1,531.565056,2
471.326208,0,400.193024,0,440.740096,1,567.606016,2
520.38912,0,472.452096,0,513.883136,1,643.136,2
631.219968,0,556.67712,0,608.932864,1,759.110912,2
692.156928,0,628.30208,0,675.296,1,802.100992,2
862.722048,0,790.914048,0,865.069056,1,1004.612096,2
1149.725952,0,1064.939008,0,1196.557824,1,1281.92896,2
3332.769024,0,3074.729984,0,3232.594944,1,3427.086848,2
5883.367936,0,5430.765056,0,5497.570816,1,6329.660928,2
28548.72294,0,27177.2969,0,27840.09805,1,28726.35622,2
49107.10093,0,52512.94003,0,53163.09094,1,56620.17587,2
