time_msec_case_1,voi_sum_sq_diff_case_1,time_msec_case_2,voi_sum_sq_diff_case_2,time_msec_case_3,voi_sum_sq_diff_case_3,time_msec_case_4,voi_sum_sq_diff_case_4
6000,87862.92233,6000,53272.49329,6000,138804.1168,6000,396933.2261
12000,75280.28037,12000,46438.58224,12000,96348.22658,12000,243527.9534
18000,69226.32914,18000,42569.4327,18000,78235.47054,18000,203534.7208
24000,65255.81212,24000,46475.14705,24000,84260.15183,24000,176658.9719
30000,62704.85273,30000,47028.59401,30000,81680.17062,30000,156025.0225
36000,61358.20006,36000,44237.13463,36000,77321.95121,36000,145316.6682
42000,60275.19798,42000,42403.06689,42000,74516.82425,42000,143187.2232
48000,57701.58969,48000,41190.87674,48000,72546.53078,48000,138629.014
54000,53899.08022,54000,40087.13534,54000,70163.82532,54000,135175.8931
60000,51008.23693,60000,39275.656,60000,69028.94285,60000,131836.0094
