time_msec,min_ham_dist
87.61501312,9
97.27597237,9
98.19722176,10
105.0601006,10
105.8700085,9
131.8769455,8
133.2421303,11
138.8890743,7
159.6131325,9
160.4528427,7
169.782877,9
179.7320843,8
180.7558537,7
186.0871315,8
200.7269859,7
200.8199692,8
205.0421238,7
208.8420391,10
211.4670277,9
257.737875,9
479.7329903,8
626.2249947,8
657.845974,8
899.8270035,10
959.2950344,7
1122.616053,9
1242.314816,7
1281.916142,7
1496.702909,9
1543.69998,9
2038.05995,9
2416.90588,8
3672.216177,9
4751.736164,8
4825.800896,9
6222.709179,8
